instance,settings_prefix,m,n,value,time,nIter,best_iter,improv_count
mm-5-10-1762875,Memetic-LS_MMX,5.0,10.0,2019.0,1001.0,6519.666666666667,6519.666666666667,6520.666666666667
mm-15-10-1891798,Memetic-LS_MPX,15.0,10.0,2942.0,1001.0,2008.0,2008.0,2009.0
mm-5-10-1110588,Memetic-LS_MPX,5.0,10.0,2373.3333333333335,1001.0,5116.333333333333,5116.333333333333,5117.333333333333
mm-20-25-1767920,Memetic-LS_MPX,20.0,25.0,4107.0,1001.0,1023.0,1023.0,1024.0
mm-5-10-1110588,Memetic_MMX,5.0,10.0,2683.0,1002.0,587.3333333333334,587.3333333333334,588.3333333333334
mm-15-10-1110588,Memetic-LS_MPX,15.0,10.0,2533.0,1001.0,1998.6666666666667,1998.6666666666667,1999.6666666666667
mm-25-25-1917698,Memetic_MPX,25.0,25.0,4837.333333333333,1005.6666666666666,112.33333333333333,112.33333333333333,113.33333333333333
mm-15-10-1767920,Memetic_MMX,15.0,10.0,4368.333333333333,1003.6666666666666,207.66666666666666,207.66666666666666,208.66666666666666
mm-5-25-1767920,Memetic-LS_MMX,5.0,25.0,4499.666666666667,1001.6666666666666,1673.6666666666667,1673.6666666666667,1674.6666666666667
mm-15-10-1891798,Memetic_MPX,15.0,10.0,3801.0,1002.0,252.0,252.0,253.0
mm-10-40-1762875,Memetic_MMX,10.0,40.0,6738.333333333333,1002.3333333333334,82.33333333333333,82.33333333333333,83.33333333333333
mm-20-25-1917698,Memetic_MPX,20.0,25.0,4951.666666666667,1003.3333333333334,110.33333333333333,110.33333333333333,111.33333333333333
mm-5-10-1110588,Memetic-LS_MMX,5.0,10.0,2527.6666666666665,1001.0,5634.666666666667,5634.666666666667,5635.666666666667
mm-15-40-1891798,Memetic-LS_MMX,15.0,40.0,4591.0,1005.0,791.0,791.0,792.0
mm-20-25-1767920,Memetic_MPX,20.0,25.0,5680.333333333333,1007.6666666666666,91.66666666666667,91.66666666666667,92.66666666666667
mm-5-10-1917698,Memetic-LS_MPX,5.0,10.0,2759.3333333333335,1001.0,3555.0,3555.0,3556.0
mm-10-25-1917698,Memetic-LS_MMX,10.0,25.0,3882.6666666666665,1001.3333333333334,1497.0,1497.0,1498.0
mm-10-25-1767920,Memetic_MPX,10.0,25.0,5534.0,1011.3333333333334,131.66666666666666,131.66666666666666,132.66666666666666
mm-15-25-1762875,Memetic-LS_MPX,15.0,25.0,4453.333333333333,1001.3333333333334,992.3333333333334,992.3333333333334,993.3333333333334
mm-20-10-1767920,Memetic-LS_MPX,20.0,10.0,2972.0,1001.0,2045.6666666666667,2045.6666666666667,2046.6666666666667
mm-5-10-1110588,Memetic_MPX,5.0,10.0,2667.0,1003.0,610.3333333333334,610.3333333333334,611.3333333333334
mm-25-25-1767920,Memetic-LS_MPX,25.0,25.0,4549.0,1002.0,987.0,987.0,988.0
mm-15-25-1762875,Memetic_MMX,15.0,25.0,6085.666666666667,1003.6666666666666,86.0,86.0,87.0
mm-10-40-1891798,Memetic_MPX,10.0,40.0,6421.666666666667,1014.0,73.0,73.0,74.0
mm-5-10-1891798,Memetic-LS_MPX,5.0,10.0,2510.6666666666665,1001.0,4732.666666666667,4732.666666666667,4733.666666666667
mm-15-40-1110588,Memetic_MMX,15.0,40.0,7056.333333333333,1011.0,45.0,45.0,46.0
mm-20-10-1762875,Memetic-LS_MMX,20.0,10.0,2331.0,1001.0,2870.3333333333335,2870.3333333333335,2871.3333333333335
mm-10-25-1762875,Memetic-LS_MPX,10.0,25.0,4036.0,1001.3333333333334,973.6666666666666,973.6666666666666,974.6666666666666
mm-20-25-1762875,Memetic-LS_MMX,20.0,25.0,2522.0,1001.6666666666666,1428.3333333333333,1428.3333333333333,1429.3333333333333
