instance,settings,m,n,value,time,nIter,best_iter,improv_count
WS_mm-10-10-1917698,Memetic-LS_MMX_1287823,10,10,3375.0,1024001.0,3122105,3122105,3122106
WS_mm-10-25-1762875,Memetic-LS_MPX_1881515,10,25,4936.0,1024001.0,1019339,1019339,1019340
WS_mm-10-40-1762875,Memetic-LS_MMX_1099666,10,40,5947.0,1024003.0,696935,696935,696936
WS_mm-5-40-1762875,Memetic_MPX_1881515,5,40,6819.0,1024015.0,86607,86607,86608
WS_mm-10-40-1917698,Memetic_MMX_1287823,10,40,7860.0,1024002.0,63670,63670,63671
WS_mm-20-10-1891798,Memetic_MMX_1287823,20,10,4960.0,512003.0,76917,76917,76916
WS_mm-20-10-1917698,Memetic-LS_MPX_1099666,20,10,2341.0,1024001.0,2379104,2379104,2379105
WS_mm-5-40-1110588,Memetic_MPX_1881515,5,40,7064.0,1024009.0,61478,61478,61479
WS_mm-15-40-1917698,Memetic_MPX_1287823,15,40,7577.0,1024008.0,67192,67192,67193
WS_mm-10-40-1110588,Memetic-LS_MPX_1099666,10,40,5497.0,1024001.0,654261,654261,654262
WS_mm-25-10-1110588,Memetic_MMX_1881515,25,10,5100.0,1024003.0,150579,150579,150580
WS_mm-5-10-1891798,Memetic_MMX_1287823,5,10,3198.0,32000.0,17193,17193,17192
WS_mm-20-25-1917698,Memetic-LS_MMX_1881515,20,25,5438.0,1024003.0,945124,945124,945125
WS_mm-20-10-1891798,Memetic_MPX_1287823,20,10,4523.0,1024004.0,206998,206998,206999
WS_mm-10-10-1891798,Memetic-LS_MMX_1287823,10,10,3292.0,1024001.0,3208342,3208342,3208343
WS_mm-5-25-1917698,Memetic-LS_MMX_1881515,5,25,4952.0,1024001.0,1325705,1325705,1325706
WS_mm-5-10-1891798,Memetic_MMX_1099666,5,10,3198.0,1024001.0,638407,638407,638408
WS_mm-15-40-1110588,Memetic_MPX_1881515,15,40,7486.0,1024001.0,62909,62909,62910
WS_mm-20-25-1110588,Memetic-LS_MPX_1099666,20,25,2939.0,1024001.0,1339103,1339103,1339104
WS_mm-10-10-1917698,Memetic_MPX_1099666,10,10,3455.0,1024001.0,380126,380126,380127
WS_mm-5-40-1767920,Memetic_MMX_1881515,5,40,7573.0,1024008.0,89765,89765,89766
WS_mm-25-25-1891798,Memetic_MPX_1881515,25,25,5760.0,1024005.0,95080,95080,95081
